Pairs,Reflectivity(%)
1,1.2155614406925423
2,3.20088345064767
3,5.966254271781648
4,9.350895180584548
5,13.191440238486548
6,17.332076785687565
7,21.631998818757484
8,25.970040047097974
9,30.246758544425806
10,34.384478854884435
11,38.325877673939964
12,42.031669031568505
13,45.477851968190414
14,48.65286745208966
15,51.55489826492307
16,54.18945005994242
17,56.56727889249987
18,58.702679655839205
19,60.612117597453185
20,62.313167089941636
21,63.82371391442013
22,65.16137600226338
23,66.34310021745986
24,67.3848974619535
25,68.30168389622241
26,69.10720161002828
27,69.81399721491958
28,70.4334413483896
29,70.97577591060754
30,71.45017901386177
31,71.86484017279386
32,72.22704028031244
33,72.54323248426407
34,72.81912128371924
35,73.05973807276442
36,73.2695120354619
37,73.45233578941537
38,73.61162552898048
39,73.75037566612383
40,73.87120813375392
